ID,Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Training Stress Score,Avg Power,Max Power,Grit,Flow,Avg. Swolf,Avg Stroke Rate,Total Reps,Dive Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Laps,Max Temp,Moving Time,Elapsed Time,Min Elevation,Max Elevation,Y_Fast,Y_Slow,Y_Okay,Y_Nice,Y_Flat,Y_Dangerous,Y_Hills,Y
721,Street Running,2022-10-12 07:52:40,FALSE,Epsom and Ewell Running,3.54,253,00:37:41,125,178,2,159,177,00:10:39,00:08:54,24,28,0.94,0,0,0,0,0,0,0,0,0,0,0,00:00:00,0,00:00:00,No,01:19.12.1,5,0,00:37:39,00:37:41,21,50,0,1,0,0,0,0,0,Slow
720,Street Running,2022-10-10 10:15:43,FALSE,Epsom and Ewell Running,6.64,652,01:05:27,157,175,4,168,182,00:09:52,00:08:36,71,70,0.97,0,0,0,0,0,0,0,0,0,0,0,00:00:00,0,00:00:00,No,03:47.16.4,8,0,01:05:24,01:05:27,19,53,0,1,0,0,0,1,1,Slow Dangerous Hills
719,Street Running,2022-10-07 07:00:16,FALSE,Epsom and Ewell Running,7,589,01:11:09,142,177,3.6,166,182,00:10:10,00:08:09,61,63,0.95,0,0,0,0,0,0,0,0,0,0,0,00:00:00,0,00:00:00,No,06:05.98.5,8,0,01:11:06,01:11:09,23,69,0,1,0,0,0,1,1,Slow Dangerous Hills
718,Street Running,2022-10-05 08:06:31,FALSE,Epsom and Ewell Running,2.82,281,00:29:20,154,180,3.1,160,180,00:10:24,00:08:57,22,27,0.95,0,0,0,0,0,0,0,0,0,0,0,00:00:00,0,00:00:00,No,04:43.27.9,4,0,00:29:17,00:29:20,21,48,0,1,0,0,1,0,0,Slow Flat
717,Street Running,2022-10-03 08:50:18,FALSE,Epsom and Ewell Running,7.81,756,01:20:54,153,178,4.5,164,179,00:10:22,00:08:26,71,75,0.94,0,0,0,0,0,0,0,0,0,0,0,00:00:00,0,00:00:00,No,02:15.66.7,9,0,01:20:52,01:20:54,20,78,0,1,0,0,0,1,1,Slow Dangerous Hills
716,Street Running,2022-09-30 06:37:12,FALSE,Epsom and Ewell Running,7.03,694,01:10:46,155,171,4.2,166,179,00:10:04,00:08:19,63,68,0.96,0,0,0,0,0,0,0,0,0,0,0,00:00:00,0,00:00:00,No,05:44.14,8,0,01:10:41,01:10:46,22,70,0,1,0,0,0,1,1,Slow Dangerous Hills
715,Street Running,2022-09-28 07:13:47,FALSE,Epsom and Ewell Running,4.87,501,00:50:27,156,173,4.1,163,179,00:10:21,00:08:47,44,47,0.94,0,0,0,0,0,0,0,0,0,0,0,00:00:00,0,00:00:00,No,04:30.71.6,6,0,00:50:24,00:50:27,21,52,0,1,0,0,0,1,1,Slow Dangerous Hills
714,Street Running,2022-09-26 07:45:13,FALSE,Epsom and Ewell Running,3.23,327,00:32:16,152,175,3.4,164,181,00:09:59,00:08:14,27,27,0.98,0,0,0,0,0,0,0,0,0,0,0,00:00:00,0,00:00:00,No,00:02.56.2,5,0,00:32:13,00:32:16,21,51,0,1,0,0,0,0,0,Slow
713,Street Running,2022-09-23 07:00:56,FALSE,Epsom and Ewell Running,7.04,705,01:10:38,154,184,4.7,166,178,00:10:02,00:08:33,63,68,0.96,0,0,0,0,0,0,0,0,0,0,0,00:00:00,0,00:00:00,No,01:26.33.8,9,0,01:10:21,01:10:38,23,69,0,1,0,0,0,1,1,Slow Dangerous Hills
712,Street Running,2022-09-21 07:18:54,FALSE,Epsom and Ewell Running,3.27,300,00:33:05,142,176,3.1,163,232,00:10:08,00:08:14,24,24,0.96,0,0,0,0,0,0,0,0,0,0,0,00:00:00,0,00:00:00,No,00:21.44.5,5,0,00:33:03,00:33:05,22,50,0,1,0,0,1,0,0,Slow Flat
